id,content
0,Are the lights on in the kids bedroom?
1,Turn on my lights
2,Turn off the lights
3,Is the light on in John's office?
4,Dim the living room lamps
5,Turn off the lights in the kids bedroom
6,Is the air purifier on?
7,Turn on the air purifier
8,Stop the air purifier
9,Turn on Movie Mode
10,Activate Good Morning
11,Turn off the kids bedroom lamps
12,Turn off the lights in the bathroom
13,Is the light on in John's office?
14,Turn on my lights
15,Turn off the lights
16,Are the lights on in the bathroom?
17,Lower the fan speed
18,Make the fan speed lower
19,Raise the fan speed
20,Turn on the fan
21,Make the fan speed higher
22,What is the fan speed?
23,Set fan to 5
24,Turn off the fan
25,Turn off lights
26,Turn on lights
27,Set security to arm
28,Arm security
29,Switch off the lights
30,Mute the speaker
31,Pause the speaker
32,Volume up on speaker
33,Stop the speaker
34,Make it louder on the speaker
35,Resume the speaker
36,Skip ahead on speaker
37,Turn on the TV
38,Pause the TV
39,Volume up on TV
40,Resume the TV
41,Mute the TV
42,Stop the TV
43,Make it louder on the TV
44,Open the side door
45,Is the front door closed?
46,Raise the AC speed
47,Stop the AC
48,What cycle is the AC in?
49,Lower the AC speed
50,What is AC mode set to?
51,What is the AC doing?
52,Start the AC
53,What is the AC speed?
54,Did I set AC to cool?
55,Set mode on AC to cool
56,Switch off the lights
57,Turn on the lights
58,Turn on the living room lamps
59,Turn on my lights
60,Dim the lights in the kitchen
61,Is the light on in John's office?
62,Are the lights on in the kitchen?
63,Stop the AC
64,What is  AC mode set to?
65,What is the AC speed?
66,Make the AC speed lower
67,What is the AC doing?
68,Set mode on AC to cool
69,Lower the AC speed
70,Start the AC
71,Raise the AC speed
72,Turn off the AC
73,Turn on the lights
74,Are the lights on in the master bed room?
75,Turn on the kids bedroom lamps
76,Turn on my lights
77,Is the light on in Tyler's room?
78,Dim the lights in the kids bedroom
79,Switch off the lights
80,Turn on the camera
81,What is  on Baby camera?
82,Turn On Hallway Camera
83,Turn off the camera
84,Is the Babycam On?
85,Show the Front Door Camera on Living Room TV
86,Show garage camera
87,Stop the air purifier
88,Turn on the air purifier
89,Is the air purifier on?
90,Turn on Movie Mode
